Red,Green,Blue
6.553500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
6.553500000000000000e+04,5.397000000000000000e+03,4.112000000000000000e+03
6.553500000000000000e+04,1.105100000000000000e+04,8.224000000000000000e+03
6.553500000000000000e+04,1.670500000000000000e+04,1.259300000000000000e+04
6.553500000000000000e+04,2.235900000000000000e+04,1.670500000000000000e+04
6.553500000000000000e+04,2.801300000000000000e+04,2.081700000000000000e+04
6.553500000000000000e+04,3.341000000000000000e+04,2.518600000000000000e+04
6.553500000000000000e+04,3.906400000000000000e+04,2.929800000000000000e+04
6.553500000000000000e+04,4.471800000000000000e+04,3.341000000000000000e+04
6.553500000000000000e+04,5.037200000000000000e+04,3.777900000000000000e+04
6.553500000000000000e+04,5.602600000000000000e+04,4.189100000000000000e+04
6.553500000000000000e+04,6.168000000000000000e+04,4.626000000000000000e+04
6.553500000000000000e+04,6.553500000000000000e+04,6.553500000000000000e+04
5.654000000000000000e+04,5.911000000000000000e+04,6.168000000000000000e+04
0.000000000000000000e+00,0.000000000000000000e+00,6.553500000000000000e+04
